asin,best_offer,image,price,title
B0BZJ299Z1,"Em até 10x R$ 112,00 sem juros",https://m.media-amazon.com/images/I/41ojcZpHdXL._AC_.jpg,1120.0,        Smartphone Xiaomi Note 12 4G 128GB - 8GB Ram (Versao Global) (Ice Blue)       
B0BSB12436,"Em até 10x R$ 76,60 sem juros",https://m.media-amazon.com/images/I/41VUOljOsvL._AC_.jpg,766.0,        Samsung Galaxy A04s 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Tripla + Selfie 5MP Bateria de 5000mAh - Preto       
B0BVMXFWZ1,"Em até 10x R$ 98,48 sem juros",https://m.media-amazon.com/images/I/31-Dv1yvgNL._AC_.jpg,983.99,        Samsung Galaxy A14 128GB 4G Wi-Fi Tela 6.6'' Dual Chip 4GB RAM Câmera Tripla de até 50MP + Selfie 13MP Bateria de 5000mAh - Preto       
B0BRQL3FWQ,"Em até 10x R$ 147,10 sem juros",https://m.media-amazon.com/images/I/41aFSbVpXKL._AC_.jpg,1471.0,"        Xiaomi POCO X5 5G Smartphone Dual Sim 256GB Memory 8GB RAM 6.67"" AMOLED Display 5000mAh 48MP+13MP CAM (verde)       "
B0BT8HFMPX,"Em até 10x R$ 175,40 sem juros",https://m.media-amazon.com/images/I/41xsV4G30AL._AC_.jpg,1754.0,"        Smartphone Xiaomi POCO X5 Pro 5G Dual SIM 6GB 128GB 6,67"" FHD+ 108MP 5000mAh 67W Carregamento (Preto)       "
B0BF5V4RQH,"Em até 10x R$ 60,90 sem juros",https://m.media-amazon.com/images/I/31SXw+wxy7L._AC_.jpg,609.0,        Redmi 10C 64gb 3gb 4g Graphite Gray       
B0BRQPLLFP,"Em até 10x R$ 149,30 sem juros",https://m.media-amazon.com/images/I/415MIU3LpmL._AC_.jpg,1493.0,"        Xiaomi POCOPHONE X5 5G (8+256GB, Azul)       "
B0BVZ65S6Y,"Em até 10x R$ 70,05 sem juros",https://m.media-amazon.com/images/I/41ZPevoGtYL._AC_.jpg,699.87,"        Celular Xiaomi Redmi 12C 128GB / 4GB RAM/Dual Sim/Tela 6.71"" / Câmeras 50MP+0.08MP e 5MP - Graphite Gray (Global)       "
B0BRQM2HWL,"Em até 10x R$ 188,80 sem juros",https://m.media-amazon.com/images/I/412sb5Re0+L._AC_.jpg,1888.0,"        Smartphone Xiaomi POCO X5 Pro 5G Dual SIM 8GB 256GB 6,67"" FHD+ 108MP 5000mAh 67W Carregamento (Azul)       "
B0CCGTDSH3,"Em até 10x R$ 118,00 sem juros",https://m.media-amazon.com/images/I/31jnWve26kL._AC_.jpg,1180.0,        Smartphone Xiaomi Note 12 4G 256GB - 8GB Ram (Versao Global) (Onyx Gray)       
B0C2VZ1B8F,"Em até 10x R$ 120,70 sem juros",https://m.media-amazon.com/images/I/41XJiKtWQ7L._AC_.jpg,1207.0,        Smartphone Xiaomi Note 12S 256GB - 8GB Ram (Versao Global) (Pearl Green)       
B0BVX8YJJ2,"Em até 10x R$ 70,70 sem juros",https://m.media-amazon.com/images/I/41wWcid88fL._AC_.jpg,707.0,        Smartphone Xiaomi Redmi 12C 128GB - 4GB Ram (Cinza)       
B0BRQKGTVM,"Em até 10x R$ 149,80 sem juros",https://m.media-amazon.com/images/I/41N53WbssoL._AC_.jpg,1498.0,"        Xiaomi POCOPHONE X5 5G (8+256GB, Preto)       "
B09T55NFSR,"Em até 12x R$ 354,12 sem juros",https://m.media-amazon.com/images/I/31RsJJcRCuL._AC_.jpg,4249.0,        Apple iPhone 13 (128 GB) - Meia-noite       
B0BZS77DBX,"Em até 10x R$ 146,00 sem juros",https://m.media-amazon.com/images/I/41EczleXxwL._AC_.jpg,1460.0,        Xiaomi Redmi Note 12 Pro 4G (256GB + 8GB) Desbloqueado de fábrica global 6.67 108MP Pro Triple Camera (Tmobile/Tello/Mint USA Market) + Extra (Fast 33w Dual Car Charger) (Graphite Grey (Global))       
asin,best_offer,image,price,title
B0BVMXFWZ1,"Em até 10x R$ 98,48 sem juros",https://m.media-amazon.com/images/I/31-Dv1yvgNL._AC_.jpg,983.99,        Samsung Galaxy A14 128GB 4G Wi-Fi Tela 6.6'' Dual Chip 4GB RAM Câmera Tripla de até 50MP + Selfie 13MP Bateria de 5000mAh - Preto       
B0BF5V4RQH,"Em até 10x R$ 60,90 sem juros",https://m.media-amazon.com/images/I/31SXw+wxy7L._AC_.jpg,609.0,        Redmi 10C 64gb 3gb 4g Graphite Gray       
B0C9GG3F2F,"Em até 10x R$ 91,90 sem juros",https://m.media-amazon.com/images/I/31XT5Dwf49L._AC_.jpg,919.0,        Smartphone Redmi 12 4G 128GB - 4GB Ram (Versao Global) (Midnight Black)       
B0C4L2P362,"Em até 10x R$ 239,90 sem juros",https://m.media-amazon.com/images/I/41oVXYQEH3L._AC_.jpg,2399.0,        Smartphone Xiaomi Poco F5 com processador Snapdragon 7+ Gen 2 Dual SIM 5G 12gb Ram 256gb Rom (Black)       
B0BZ7R2MPQ,"Em até 10x R$ 93,00 sem juros",https://m.media-amazon.com/images/I/41VTY38EOpL._AC_.jpg,930.0,        Celular Xiaomi Redmi Note 12 128GB / 6GB RAM/Dual Sim/TelaP e 13MP - Onyx Gray - Preto       
B0CC34JZCB,"Em até 10x R$ 115,99 sem juros",https://m.media-amazon.com/images/I/41EEryMLHIL._AC_.jpg,1159.9,        Smartphone Xiaomi Redmi 12 4G 256GB - 8GB Ram (Versao Global) (Midnight Black)       
B0BVZ65S6Y,"Em até 10x R$ 70,05 sem juros",https://m.media-amazon.com/images/I/41ZPevoGtYL._AC_.jpg,699.87,"        Celular Xiaomi Redmi 12C 128GB / 4GB RAM/Dual Sim/Tela 6.71"" / Câmeras 50MP+0.08MP e 5MP - Graphite Gray (Global)       "
B0BRQPLLFP,"Em até 10x R$ 149,30 sem juros",https://m.media-amazon.com/images/I/415MIU3LpmL._AC_.jpg,1493.0,"        Xiaomi POCOPHONE X5 5G (8+256GB, Azul)       "
B0C2VZ1B8F,"Em até 10x R$ 120,70 sem juros",https://m.media-amazon.com/images/I/41XJiKtWQ7L._AC_.jpg,1207.0,        Smartphone Xiaomi Note 12S 256GB - 8GB Ram (Versao Global) (Pearl Green)       
B0BZS77DBX,"Em até 10x R$ 146,00 sem juros",https://m.media-amazon.com/images/I/41EczleXxwL._AC_.jpg,1460.0,        Xiaomi Redmi Note 12 Pro 4G (256GB + 8GB) Desbloqueado de fábrica global 6.67 108MP Pro Triple Camera (Tmobile/Tello/Mint USA Market) + Extra (Fast 33w Dual Car Charger) (Graphite Grey (Global))       
B0BVWNKGS6,"Em até 10x R$ 68,00 sem juros",https://m.media-amazon.com/images/I/41ZSwXcVfqL._AC_.jpg,680.0,        Smartphone Xiaomi Redmi 12C 128GB - 4GB Ram (VERSAO GLOBAL) (Mint Green)       
B0C46M8N79,"Em até 10x R$ 120,90 sem juros",https://m.media-amazon.com/images/I/41yf2L0YUqL._AC_.jpg,1209.0,        Smartphone Xiaomi Note 12S 256GB - 8GB Ram (Versao Global) (Ice Blue)       
B0BXQ4YNV9,"Em até 10x R$ 180,40 sem juros",https://m.media-amazon.com/images/I/41jSOzzaEvL._AC_.jpg,1804.0,        Smartphone Xiaomi Redmi Note 12 Pro 5G Dual SIM 256GB - 8GB Ram (Versao Global) (Sky Blue)       
B0BVX8YJJ2,"Em até 10x R$ 70,70 sem juros",https://m.media-amazon.com/images/I/41wWcid88fL._AC_.jpg,707.0,        Smartphone Xiaomi Redmi 12C 128GB - 4GB Ram (Cinza)       
B0BZJ2LLGL,"Em até 10x R$ 107,86 sem juros",https://m.media-amazon.com/images/I/41uf5rbK77L._AC_.jpg,1078.15,        Smartphone Xiaomi Note 12 4G 128GB - 8GB Ram (Versao Global) (Onyx Gray)       
B0CCGTDSH3,"Em até 10x R$ 118,00 sem juros",https://m.media-amazon.com/images/I/31jnWve26kL._AC_.jpg,1180.0,        Smartphone Xiaomi Note 12 4G 256GB - 8GB Ram (Versao Global) (Onyx Gray)       
B0BRQKGTVM,"Em até 10x R$ 149,80 sem juros",https://m.media-amazon.com/images/I/41N53WbssoL._AC_.jpg,1498.0,"        Xiaomi POCOPHONE X5 5G (8+256GB, Preto)       "
B0BRQM2HWL,"Em até 10x R$ 188,80 sem juros",https://m.media-amazon.com/images/I/412sb5Re0+L._AC_.jpg,1888.0,"        Smartphone Xiaomi POCO X5 Pro 5G Dual SIM 8GB 256GB 6,67"" FHD+ 108MP 5000mAh 67W Carregamento (Azul)       "
